journal_id,field,name,abbreviation
J001,CS,Journal of Computational Systems,JCS
J002,CS,Transactions on Applied Algorithms,TAA
J003,MATH,Journal of Mathematical Analysis,JMA
J004,MATH,Annals of Applied Mathematics,AAM
J005,PHYS,Journal of Theoretical Physics,JTP
J006,PHYS,Applied Physics Letters and Reviews,APLR
J007,ADMN,Journal of Higher Education Administration,JHEA
J008,ADMN,Review of Academic Management,RAM
J009,HR,Journal of Workforce Studies,JWS
J010,HR,Human Capital Research Quarterly,HCRQ
